year,country,religionCode,population,submitDate
2000,CAN,jaingen,0,2001-01-10
2005,CAN,chrstgen,26057640,2006-05-28
2005,CAN,judgen,341229,2006-08-08
2005,CAN,islmgen,646000,2006-09-03
2005,CAN,budgen,605000,2006-04-12
2005,CAN,zorogen,5138,2006-04-17
2005,CAN,hindgen,193800,2006-07-01
2005,CAN,sikhgen,161500,2006-07-19
2005,CAN,shntgen,565,2006-01-18
2005,CAN,taogen,3572,2006-01-03
2005,CAN,jaingen,0,2006-09-30
2010,CAN,chrstgen,26431104,2011-03-23
2010,CAN,judgen,340304,2011-10-05
2010,CAN,islmgen,670000,2011-10-28
2010,CAN,budgen,670000,2011-03-07
2010,CAN,zorogen,6130,2011-06-06
2010,CAN,hindgen,275000,2011-12-24
2010,CAN,sikhgen,275000,2011-05-25
2010,CAN,shntgen,915,2011-01-16
2010,CAN,taogen,3620,2011-08-19
2010,CAN,jaingen,3320,2011-08-11
1975,BHM,chrstgen,164603,1976-04-26
1975,BHM,judgen,768,1976-02-05
1975,BHM,islmgen,0,1976-10-12
1975,BHM,budgen,0,1976-04-30
1975,BHM,zorogen,0,1976-01-16
1975,BHM,hindgen,0,1976-04-28
1975,BHM,sikhgen,0,1976-04-13
1975,BHM,shntgen,0,1976-02-19
1975,BHM,taogen,0,1976-05-08
1975,BHM,jaingen,0,1976-06-09
1980,BHM,chrstgen,174180,1981-09-21
1980,BHM,judgen,620,1981-02-04
1980,BHM,islmgen,0,1981-01-06
1980,BHM,budgen,0,1981-03-21
1980,BHM,zorogen,0,1981-07-23
1980,BHM,hindgen,0,1981-10-25
1980,BHM,sikhgen,0,1981-12-29
1980,BHM,shntgen,0,1981-03-10
1980,BHM,taogen,0,1981-08-17
1980,BHM,jaingen,0,1981-04-22
1985,BHM,chrstgen,185700,1986-10-12
1985,BHM,judgen,500,1986-03-21
1985,BHM,islmgen,0,1986-11-19
1985,BHM,budgen,0,1986-03-19
1985,BHM,zorogen,0,1986-04-12
1985,BHM,hindgen,0,1986-01-28
1985,BHM,sikhgen,0,1986-08-26
1985,BHM,shntgen,0,1986-07-12
1985,BHM,taogen,0,1986-01-09
1985,BHM,jaingen,0,1986-11-10
1990,BHM,chrstgen,209670,1991-11-10
1990,BHM,judgen,400,1991-06-27
1990,BHM,islmgen,0,1991-09-12
1990,BHM,budgen,0,1991-06-11
1990,BHM,zorogen,0,1991-04-16
1990,BHM,hindgen,0,1991-01-22
1990,BHM,sikhgen,0,1991-02-03
1990,BHM,shntgen,0,1991-12-20
1990,BHM,taogen,0,1991-02-27
1990,BHM,jaingen,0,1991-12-03
1995,BHM,chrstgen,253645,1996-12-25
1995,BHM,judgen,0,1996-06-20
1995,BHM,islmgen,0,1996-12-23
1995,BHM,budgen,0,1996-03-24
1995,BHM,zorogen,0,1996-01-20
1995,BHM,hindgen,0,1996-08-07
1995,BHM,sikhgen,0,1996-09-22
1995,BHM,shntgen,0,1996-11-29
1995,BHM,taogen,0,1996-10-14
1995,BHM,jaingen,0,1996-11-05
2000,BHM,chrstgen,297045,2001-12-05
2000,BHM,judgen,300,2001-06-14
2000,BHM,islmgen,0,2001-07-10
2000,BHM,budgen,0,2001-03-30
2000,BHM,zorogen,0,2001-10-17
2000,BHM,hindgen,0,2001-12-12
2000,BHM,sikhgen,0,2001-11-13
2000,BHM,shntgen,0,2001-10-29
2000,BHM,taogen,92,2001-05-08
2000,BHM,jaingen,0,2001-11-23
2005,BHM,chrstgen,313950,2006-04-07
2005,BHM,judgen,317,2006-05-04
2005,BHM,islmgen,0,2006-04-28
2005,BHM,budgen,0,2006-12-18
2005,BHM,zorogen,0,2006-05-24
2005,BHM,hindgen,0,2006-03-23
2005,BHM,sikhgen,0,2006-03-04
2005,BHM,shntgen,0,2006-10-08
2005,BHM,taogen,97,2006-02-02
2005,BHM,jaingen,0,2006-09-15
2010,BHM,chrstgen,302657,2011-02-02
2010,BHM,judgen,305,2011-08-23
2010,BHM,islmgen,0,2011-01-16
2010,BHM,budgen,0,2011-09-06
2010,BHM,zorogen,0,2011-01-22
2010,BHM,hindgen,0,2011-02-19
2010,BHM,sikhgen,0,2011-10-23
2010,BHM,shntgen,0,2011-01-28
